filename, language, YAML, JavaScript, JSON, Markdown, TypeScript, Vue, XML, HTML, CSS, comment, blank, total
d:\Repos\Web\Aphelion\Final\Server\dist\utils\DatabaseReturnStatus.js, JavaScript, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
d:\Repos\Web\Aphelion\Final\Server\dist\utils\GameRoom.js, JavaScript, 0, 128, 0, 0, 0, 0, 0, 0, 0, 1, 0, 129
d:\Repos\Web\Aphelion\Final\Server\dist\utils\InfoHelper.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6
d:\Repos\Web\Aphelion\Final\Server\dist\utils\Logger.js, JavaScript, 0, 120, 0, 0, 0, 0, 0, 0, 0, 1, 0, 121
d:\Repos\Web\Aphelion\Final\Server\dist\utils\MessageTypes.js, JavaScript, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 0, 17
d:\Repos\Web\Aphelion\Final\Server\dist\utils\Validator.js, JavaScript, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
d:\Repos\Web\Aphelion\Final\Server\jest.config.js, JavaScript, 0, 7, 0, 0, 0, 0, 0, 0, 0, 17, 0, 24
d:\Repos\Web\Aphelion\Final\Server\package-lock.json, JSON, 0, 0, 7298, 0, 0, 0, 0, 0, 0, 0, 1, 7299
d:\Repos\Web\Aphelion\Final\Server\package.json, JSON, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 45
d:\Repos\Web\Aphelion\Final\Server\public\assets\css\app.807bff8e.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
d:\Repos\Web\Aphelion\Final\Server\public\assets\img\Info.4ebb5d9b.svg, XML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
d:\Repos\Web\Aphelion\Final\Server\public\assets\img\MusicOff.35d757dd.svg, XML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
d:\Repos\Web\Aphelion\Final\Server\public\assets\img\MusicOn.87077e62.svg, XML, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
d:\Repos\Web\Aphelion\Final\Server\public\assets\js\app.98f747a9.js, JavaScript, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
